dim_hidden,learning_rate,l2_reg,val_acc
[2048, 1024],0.01,0.001,0.5548
[2048, 2048],0.01,0.001,0.5589
[256, 32],0.01,0.0001,0.5377
[256, 64],0.01,0.0001,0.5383
[256, 128],0.01,0.0001,0.5398
[256, 256],0.01,0.0001,0.5424
[512, 64],0.01,0.0001,0.5449
[512, 128],0.01,0.0001,0.549
[512, 256],0.01,0.0001,0.5505
[512, 512],0.01,0.0001,0.5496
[1024, 128],0.01,0.0001,0.5526
[1024, 256],0.01,0.0001,0.5542
[1024, 512],0.01,0.0001,0.558
[1024, 1024],0.01,0.0001,0.5544
[2048, 256],0.01,0.0001,0.559
[2048, 512],0.01,0.0001,0.5597
[2048, 1024],0.01,0.0001,0.5555
[2048, 2048],0.01,0.0001,0.5583
[256, 32],0.01,1e-05,0.5399
[256, 64],0.01,1e-05,0.5362
[256, 128],0.01,1e-05,0.5399
[256, 256],0.01,1e-05,0.5412
[512, 64],0.01,1e-05,0.5438
[512, 128],0.01,1e-05,0.5482
[512, 256],0.01,1e-05,0.5508
[512, 512],0.01,1e-05,0.5495
[1024, 128],0.01,1e-05,0.5522
[1024, 256],0.01,1e-05,0.5532
[1024, 512],0.01,1e-05,0.5595
[1024, 1024],0.01,1e-05,0.5554
[2048, 256],0.01,1e-05,0.5583
[2048, 512],0.01,1e-05,0.5584
[2048, 1024],0.01,1e-05,0.5551
[2048, 2048],0.01,1e-05,0.5598
