epoch,train_loss,train_acc,val_loss,val_acc
1,1.457035671573241,0.487725,1.522039220733431,0.4555
2,1.2857303122197146,0.551,1.419278205870767,0.4972
3,1.1447750866792172,0.59905,1.3557625148395729,0.5275
4,1.0841221687053646,0.62105,1.36733701691123,0.5242
5,0.9371652717409014,0.6745,1.3269067916187374,0.5371
6,0.879768733448403,0.69995,1.3632556142061387,0.5357
7,0.7307841664500992,0.7579,1.3190024311503035,0.5523
8,0.6648998215772222,0.777275,1.3684880579341843,0.5445
9,0.570967405964228,0.816675,1.3893021816121682,0.5476
10,0.4801376527521388,0.845025,1.436373929712002,0.5588
11,0.38523010754346415,0.880725,1.461860788230915,0.5591
12,0.31091974758528873,0.91095,1.5180939238234417,0.5571
13,0.27633696518558787,0.917575,1.6237592429287286,0.5561
14,0.2689781222509076,0.920325,1.72516530857356,0.5439
15,0.18334125867159617,0.95105,1.7626278406919944,0.5544
16,0.1421440147875151,0.96585,1.7912627484613983,0.5642
17,0.0919706368926276,0.983075,1.824353499410954,0.5635
18,0.06316999644251897,0.991675,1.8661487109065351,0.5707
19,0.05272353859274823,0.993925,1.9666709857525155,0.5664
20,0.034930629567984206,0.997375,1.979971907475538,0.575
21,0.02902895217066283,0.9978,2.013205080694783,0.5731
22,0.023768940452333114,0.998225,2.058858934200116,0.5756
23,0.019146869592792833,0.99955,2.0811694117235735,0.5781
24,0.01700417021387122,0.999425,2.1115986088991736,0.5777
25,0.014528786770658187,0.99985,2.1339192279790042,0.578
26,0.013079588002409503,0.99985,2.1633382394671785,0.5788
27,0.012259055341697866,0.999875,2.1686415441306295,0.5769
28,0.011332967705838212,0.999925,2.1905577318159986,0.5769
29,0.011455909543787359,0.999625,2.203866181371746,0.5777
30,0.010040252101706866,0.999975,2.2140656114818653,0.5789
31,0.009566261901729663,0.999975,2.2257309598629877,0.5791
32,0.009472722655787266,0.9999,2.239781132438374,0.5774
33,0.008767015533265015,1.0,2.244683846091908,0.5774
34,0.008683378529261666,0.999975,2.2436938612763355,0.5793
35,0.008265095910745266,1.0,2.2533919906707,0.5765
36,0.00807190164785961,1.0,2.260276174385232,0.5773
37,0.007902620157413666,1.0,2.269139786257537,0.5785
38,0.007767893429127982,1.0,2.2729952015124515,0.5781
39,0.007544988866894048,1.0,2.2752794836711803,0.5793
40,0.0074167596806815955,1.0,2.2794463604286404,0.5782
41,0.007237025805207179,1.0,2.284773031690828,0.5786
42,0.007112552880242814,1.0,2.2855306744876103,0.5782
43,0.007079517315013936,1.0,2.2912451541338164,0.5783
44,0.006934521088100139,1.0,2.2930442535113427,0.5783
45,0.0068712870190246805,1.0,2.2955910863328595,0.5782
46,0.006765650133237288,1.0,2.2985116850434535,0.5774
47,0.0066889494109136595,1.0,2.2993596948350716,0.578
48,0.006643764995992087,1.0,2.301557154782367,0.5779
49,0.006581031871665452,1.0,2.305223458529701,0.5765
50,0.006518027434443645,1.0,2.3072253399653504,0.5771
